"indicator_id","indicator_name","unit","geo_area","geo_name","sex","time_period","value","status","source","source_url","extraction_date","methodology_note"
"POP-FEMALE","Poblacion de mujeres","persons","28","Tamaulipas","female","2020","1791595","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","29","Tlaxcala","total","2020","1342977","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","29","Tlaxcala","male","2020","649894","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","29","Tlaxcala","female","2020","693083","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","30","Veracruz de Ignacio de la Llave","total","2020","8062579","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","30","Veracruz de Ignacio de la Llave","male","2020","3871774","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","30","Veracruz de Ignacio de la Llave","female","2020","4190805","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","31","YucatÃ¡n","total","2020","2320898","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","31","YucatÃ¡n","male","2020","1140279","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","31","YucatÃ¡n","female","2020","1180619","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","32","Zacatecas","total","2020","1622138","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
